,Tweet,Username,Location,Created_at
58,Knp sinyal indihome ku ilang ilangan terusssss,cxicaco,,2022-01-26 22:57:28
59,"@IndiHomeCare Min, kalo jatuh tempo pembayaran IndiHome itu tangal berapa ya? #MauNanyaDong",desnahendayu,,2022-01-26 22:53:55
60,"@IndiHomeCare Min, makasih yaaa. wfh ku lancar banget pake jaringan IndiHome #KuisIndiHomeCare",desnahendayu,,2022-01-26 22:53:26
61,"Tahun baru, resolusi baru😇😇😇

#AktivitasTanpaBatas
#BerjuangTanpaBatas
#IndiHome
#IndiHomeSelaludiHati… https://t.co/8bcMaPu3If",repull,"Medan Timur, Indonesia",2022-01-26 22:50:56
62,Arema vs persipura yang bakalan menang siapa nih 🧐 https://t.co/UkGEhFV71J,trivansekorata,,2022-01-26 22:49:44
63,"RT @IndiHome: Lagu yang dari detik pertama udah bikin jari-jari Kamu joget?

Dari pilihan di bawah, mana yg paling sesuai sama mood Kamu se…",msk_kurniawan,Gresik,2022-01-26 22:47:01
64,"@L1N4_CuTe Halo, Kak Wahyu. Fanzila infokan untuk ganti remote STB (Set Top Box) IndiHome TV itu bisa kami bantu. U… https://t.co/xyAuBtib2h",IndiHomeCare,Indonesia,2022-01-26 22:45:15
65,"RT @IndiHomeJBN: Pick one yuk, makanan ber-ayam apa yang jadi favorit kamu!

Mimin sih Ayam Taliwang khas Lombok! 

Nah, Sobat bisa menemuk…",widjiae,"Gresik, Indonesia",2022-01-26 22:44:32
66,"RT @IndiHome: Pasti pada sering denger kan, istilah GG saat main game? Tapi, ternyata GG itu banyak juga, lho, variasinya. 🧐

Hmm, daripada…",msk_kurniawan,Gresik,2022-01-26 22:43:53
67,RT @IndiHome: Aktifkan minipack IndiSport 2 melalui layar TV atau aplikasi myIndiHome. Nikmati juga akses streamingnya melalui UseeTV GO ✨…,msk_kurniawan,Gresik,2022-01-26 22:43:47
68,RT @IndiHome: Persaingan klub-klub sepak bola terbaik Indonesia meraih kemenangan semakin sengit! Jangan lewatkan pertandingan BRI Liga 1 y…,msk_kurniawan,Gresik,2022-01-26 22:43:44
69,"RT @IndiHome: Gabung sekarang juga!
“Musik Tanpa Batas” Road to IKonser Fest 2022.

Untuk kamu, para musisi/band yang butuh tempat melebark…",msk_kurniawan,Gresik,2022-01-26 22:43:31
70,Kira-kira klub mana nih yang bakalan menang di pertandingan hari ini 🤔😄 https://t.co/WcS2PtMP1M,pinkandewy,,2022-01-26 22:42:06
71,"RT @IndiHomeJBN: Pick one yuk, makanan ber-ayam apa yang jadi favorit kamu!

Mimin sih Ayam Taliwang khas Lombok! 

Nah, Sobat bisa menemuk…",Jelasawan,"Kota Surabaya, Jawa Timur",2022-01-26 22:39:24
72,Demi Allah indihome gangguan dari kemaren sumpah,aypjisung,she/her,2022-01-26 22:36:59
73,Min remote yang buat tv modem zte bisa diganti gak ya? Hilang/keselip gak tau kemana? @IndiHomeCare @IndiHome,L1N4_CuTe,"ÜT: -6.19699,106.75536",2022-01-26 22:36:58
74,Selamat pagi Sob! Udah hari Kamis aja nih. Selamat beraktivitas ya. Semoga #AktivitasTanpaBatas mu hari ini lancar.… https://t.co/UhwlZtnJU0,AkuAzza3,Telkom Surabaya Utara,2022-01-26 22:31:44
75,"@yudhagodel @IndiHome Coba kak di restart dulu tunggu 5-10 menit,lalu nyalakan kembali.",ti_TOP,Indonesia,2022-01-26 22:31:29
76,"RT @SangWarior: Favo bangets nonton disney+hotstar apa lagi pakai indihome, Streaming lancar banget sob...😁😁😁

#AktivitasTanpaBatas 
#IndiH…",msk_kurniawan,Gresik,2022-01-26 22:27:15
77,Jaringan lu lagi kenapa sih @IndiHome,avawanpis,,2022-01-26 22:26:43
78,indihome kenapa sih,uusn0,,2022-01-26 22:23:02
79,"RT @indihomeborneo: SAATNYA #GIVEAWAY!

Sobat @IndiHome yang jago nebak, tau ngga ada berapa banyak logo #KIGPSMARTKalimantan dalam foto in…",MiraIndah29,,2022-01-26 22:13:03
80,"@cokyfv Terima kasih atas apresiasinya, Kak Coky.
Jika ada hal yang perlu di konfirmasi seputar layanan IndiHome bi… https://t.co/ifg3HqIZ18",IndiHomeCare,Indonesia,2022-01-26 22:07:51
81,@MySumatera Pasti dong nontonnya dari @IndiHome TV,MiraIndah29,,2022-01-26 22:05:56
82,"RT @IndiHome: Hari Rabu, saatnya Mimin bikin Kamu ngga kelabu, dengan ikutan kuis ini, biar lebih seru!

Yuk, langsung quote retweet jawaba…",YossYazidcho,,2022-01-26 22:05:50
83,@RikoTampaty6 @FirstMediaCares Makanya pake @IndiHome  dong,bluuuurrrrr,,2022-01-26 22:03:50
84,"RT @MySumatera: Well said, Kinan✨

Jangan lupa untuk nonton Layangan Putus dengan langganan WeTV-iflix dan nonton langsung dari IndiHome TV…",MiraIndah29,,2022-01-26 22:02:42
85,"Habis subuh berangkat kerja nemu seoongok bulbul didepan kos, lucu bgtt. Hujan2 gini emang enaknya bobo smbil strea… https://t.co/oHE5bWlMjB",vitaarahma23,"Kota Semarang, Jawa Tengah",2022-01-26 22:01:47
86,"RT @TelkomJabar: Bener-bener awet muda panutan kita yang satu ini, tetep shiny di usia senja nya yang ke 70 tahun siapa lagi kalau bukan Ka…",alfinh214,East Java,2022-01-26 22:01:40
87,@Hakai_Zero kesal kukira indihome tpi aku masih ttp bs,applepiart_,,2022-01-26 21:59:47
88,"RT @MySumatera: Spill dong HP jadul kamu di bawah 😆

#IndiHome #InternetnyaIndonesia #WhenWeWereYoung #Anak90an #Nostalgia https://t.co/uqG…",MiraIndah29,,2022-01-26 21:57:22
89,"Sobat yang suka kebudayaan Jawa, Kamu bisa belajar kebudayaan Jawa dgn minipack IndiJowo Rp5.000/bulan
Bisa nonton… https://t.co/S2ZczGMkKD",mfnasution,"Medan Kota, Indonesia",2022-01-26 21:55:05
90,Indihome kenapa nggak bisa dari semalem,pickwx,,2022-01-26 21:53:13
91,@MySumatera @IndiHome Terimakasih sudah memberikan yang terbaik kepada pelanggan,MiraIndah29,,2022-01-26 21:52:10
92,"@MySumatera TELUR

Yuk ikutan
@MutaharohN 
@myuuuzztika 
@Anissalulu_1809 
#IndiHome #InternetnyaIndonesia 
#BerjuangTanpaBatas",MiraIndah29,,2022-01-26 21:51:22
